accounted_update_noise_multipliers,aggregate_only_decryption_enforced,client_ids,destination,dp_budget_ok,dp_event_observed,executed_update_noise_multiplier,formal_dp_status,he_crypto_observed,he_execution,key_isolation_enforced,mechanism,mode,noise_location,object,packet_index,packet_protection_status,released_model_dp_status,round,selected_update_noise_multipliers,sigma_execution_accounting_consistent,source,source_domain
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,0;10;30;40;50;70;80;90,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,0,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,0
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,1;11;21;31;41;51;61;71;81;91,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,1,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,1
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,2;12;22;42;62;82;92,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,2,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,2
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,3;13;23;33;43;53;63;73;83;93,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,3,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,3
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,4;14;24;34;44;64;74;84;94,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,4,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,4
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,6;16;26;36;56;66;76;86;96,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,5,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,6
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,7;17;27;37;47;57;67;87;97,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,6,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,7
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,9;19;29;39;49;59;79;89;99,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,7,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,9
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,15;25;35;45;55;75;95,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,8,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,5
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,18;28;38;48;58;68;78;88,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,9,packet_dp_pending_analysis,dp_coverage_pending_analysis,1,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,8
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,0;10;30;40;50;70;80;90,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,0,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,0
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,1;11;21;31;41;51;61;71;81;91,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,1,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,1
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,2;12;22;42;62;82;92,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,2,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,2
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,3;13;23;33;43;53;63;73;83;93,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,3,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,3
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,4;14;24;34;44;64;74;84;94,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,4,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,4
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,6;16;26;36;56;66;76;86;96,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,5,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,6
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,7;17;27;37;47;57;67;87;97,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,6,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,7
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,9;19;29;39;49;59;79;89;99,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,7,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,9
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,15;25;35;45;55;75;95,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,8,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,5
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,18;28;38;48;58;68;78;88,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,9,packet_dp_pending_analysis,dp_coverage_pending_analysis,2,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,8
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,0;10;30;40;50;70;80;90,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,0,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,0
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,1;11;21;31;41;51;61;71;81;91,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,1,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,1
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,2;12;22;42;62;82;92,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,2,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,2
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,3;13;23;33;43;53;63;73;83;93,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,3,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,3
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,4;14;24;34;44;64;74;84;94,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,4,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,4
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,6;16;26;36;56;66;76;86;96,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,5,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,6
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,7;17;27;37;47;57;67;87;97,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,6,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,7
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,9;19;29;39;49;59;79;89;99,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,7,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,9
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,15;25;35;45;55;75;95,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,8,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,5
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,18;28;38;48;58;68;78;88,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,9,packet_dp_pending_analysis,dp_coverage_pending_analysis,3,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,8
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,0;10;30;40;50;70;80;90,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,0,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,0
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,1;11;21;31;41;51;61;71;81;91,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,1,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,1
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,2;12;22;42;62;82;92,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,2,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,2
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,3;13;23;33;43;53;63;73;83;93,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,3,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,3
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,4;14;24;34;44;64;74;84;94,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,4,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,4
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,6;16;26;36;56;66;76;86;96,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,5,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,6
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,7;17;27;37;47;57;67;87;97,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,6,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,7
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,9;19;29;39;49;59;79;89;99,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,7,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,9
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,15;25;35;45;55;75;95,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,8,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,5
6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,False,18;28;38;48;58;68;78;88,cloud,True,True,6.911200311588956,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,9,packet_dp_pending_analysis,dp_coverage_pending_analysis,4,6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564;6.9112003115889564,True,edge,8
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,0;10;30;40;50;70;80;90,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,0,packet_dp_pending_analysis,dp_coverage_pending_analysis,5,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,0
6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,False,1;11;21;31;41;51;61;71;81;91,cloud,True,True,6.911200311588957,not_established,True,real,False,dp_he3,LIIEIIIC,packet,model_update,1,packet_dp_pending_analysis,dp_coverage_pending_analysis,5,6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573;6.9112003115889573,True,edge,1
